cell_type,R2_all_genes,R2_top100_DEGs
CD8 T,0.865086413188568,0.957705960641848
Macrophages,0.9945704830548393,0.99905331016968
NK,0.9874977201158195,0.9966759758800205
Neutrophil,0.9927929069117755,0.9991821108738937
Secretory,0.986126216606094,0.9948642230969181
mDC,0.9146791474510717,0.9697041133984622
