cell_type,R2_all_genes,R2_top100_DEGs
PW029,0.9780188089803344,0.9875671728942536
PW030,0.9834025122015622,0.9962578753532223
PW032,0.95961703522331,0.9915387036199171
PW034,0.9853722459601155,0.988689419606409
PW036,0.9857369704364847,0.9892571362451226
PW052,0.9703238749234785,0.991467342832788
