cell_type,Spearman_corr
B cells,0.6515621195621196
CD14+ Monocytes,0.7143475743475743
CD4 T cells,0.5621460701460702
CD8 T cells,0.6328633888633889
Dendritic cells,0.5795229035229036
FCGR3A+ Monocytes,0.6330240450240451
Megakaryocytes,0.5572168732168732
NK cells,0.6569220569220569
