cell_type,R2_all_genes,R2_top100_DEGs
B cells,0.870862830560844,0.9315557155384913
CD14+ Monocytes,0.9645848243624137,0.9937365695661171
CD4 T cells,0.7379757638452247,0.8492238809975065
CD8 T cells,0.8309891475469631,0.8275986517094551
Dendritic cells,0.8321375307423824,0.9428374018395139
FCGR3A+ Monocytes,0.928687924915923,0.9839996493814477
Megakaryocytes,0.8691107704544011,0.8923353830856982
NK cells,0.9007523374210067,0.9734765182767078
