cell_type,R2_all_genes,R2_top100_DEGs
B,0.9696189596810741,0.9940805779121061
CD14+Mono,0.986986752294437,0.9953774468314528
CD4T,0.9954875758773742,0.999750199390531
CD8T,0.953742108801458,0.9945814093230376
Dendritic,0.9738952997307999,0.996585135542444
FCGR3A+Mono,0.9903196603693815,0.9982314846062219
NK,0.9456705771720623,0.9757530383108531
