cell_type,Spearman_corr
B,0.7596450632912252
CD14+Mono,0.584398736131175
CD4T,0.8793602337199214
CD8T,0.6783992131786856
Dendritic,0.644080566452433
FCGR3A+Mono,0.6284488665357272
NK,0.6856538185774314
